,title,link,score
67,This is a moment of reckoning on race for White Christians,http://rss.cnn.com/~r/rss/cnn_topstories/~3/BCUQDhxj4IA/index.html,0.8558563590049744
68,Coronavirus: 75 at Anglesey chicken plant staff positive,https://www.bbc.co.uk/news/uk-wales-53122894,0.8406334519386292
69,Cell phone pings led investigators to the bodies of her children,http://rss.cnn.com/~r/rss/cnn_topstories/~3/8fK7rzNNu1M/index.html,0.8305687308311462
70,Healthy teenager who took precautions died suddenly of Covid-19,http://rss.cnn.com/~r/rss/cnn_topstories/~3/Pw5GMbzYSpA/index.html,0.7716251611709595
71,Coronavirus: Which schools are reopening for pupils?,https://www.bbc.co.uk/news/education-51643556,0.7640290260314941
72,Coronavirus: Should I go to university this year?,https://www.bbc.co.uk/news/explainers-52753913,0.7292354702949524
73,Federal judge denies Trump administration's attempt to block release of Bolton's book,http://rss.cnn.com/~r/rss/cnn_topstories/~3/D03vVhMV4n0/index.html,0.7038052082061768
74,Boy survives shark attack in North Carolina,http://rss.cnn.com/~r/rss/cnn_topstories/~3/VXoz_HdjA50/index.html,0.6450228691101074
75,Coronavirus: What's the chance of going on holiday?,https://www.bbc.co.uk/news/explainers-52646738,0.6386078000068665
76,Coronavirus: How charity shops are handling the nation's spring clean,https://www.bbc.co.uk/news/uk-england-essex-53082847,0.6144523620605469
77,The Miami Dolphins have opened a socially distanced drive-in theater at Hard Rock Stadium,http://rss.cnn.com/~r/rss/cnn_topstories/~3/VBXQi3XmqVU/index.html,0.6046485304832458
78,Coronavirus: Why are international comparisons difficult?,https://www.bbc.co.uk/news/52311014,0.5845162272453308
79,Six campaign staffers working on Tulsa rally test positive for coronavirus,http://rss.cnn.com/~r/rss/cnn_topstories/~3/Rho4Rznge0w/index.html,0.5683878064155579
80,Coronavirus: Do I have to go back to work after lockdown?,https://www.bbc.co.uk/news/business-52567567,0.5394633412361145
81,Can thermal cameras help spot coronavirus?,https://www.bbc.co.uk/news/health-52940951,0.5312215089797974
82,The Trump administration's attempt to oust one of the most powerful prosecutors appears to be latest move to protect the President,http://rss.cnn.com/~r/rss/cnn_topstories/~3/3eoe3uPZoAw/index.html,0.4853033423423767
83,Michael Irving: Teens jailed for 'Trojan horse trap' murder,https://www.bbc.co.uk/news/uk-england-london-53119254,0.4074072241783142
84,Coronavirus: How dangerous is lifting lockdown?,https://www.bbc.co.uk/news/health-52878816,0.3939654231071472
85,US Attorney refuses to step down after Barr tries to push him out,http://rss.cnn.com/~r/rss/cnn_topstories/~3/DryCniAK6Ek/index.html,0.3894801735877991
86,Lee Longlands store in administration due to lockdown,https://www.bbc.co.uk/news/uk-england-birmingham-53119614,0.3686360716819763
87,Coronavirus: Who should wear a face mask or face covering?,https://www.bbc.co.uk/news/health-51205344,0.3685256838798523
88,Coronavirus: No new cases in NI for first time since lockdown,https://www.bbc.co.uk/news/uk-northern-ireland-53122657,0.3619857728481293
89,Has a second wave of infections hit Iran?,https://www.bbc.co.uk/news/52959756,0.3288683295249939
90,John Bolton betrayed his country,http://rss.cnn.com/~r/rss/cnn_topstories/~3/xor3C9Gwqms/index.html,0.31273719668388367
